Record Length,Analog:14000
Sample Interval,CH1:0.0000000010000
Vertical Units,CH1:V,,,
Vertical Scale,CH1:0.01,,,
Vertical Offset,CH1:-0.00100,,,
Horizontal Units,us,,,
Horizontal Scale,1.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMFCX5R6567,,,
Software Version,8.1.6.1.26,,,
Source,CH1
Second,Volt
 0.00000036300,0.00100
 0.00000036400,0.00180
 0.00000036500,0.00220
 0.00000036600,0.00060
 0.00000036700,0.00060
 0.00000036800,0.00300
 0.00000036900,0.00260
 0.00000037000,0.00220
 0.00000037100,0.00220
 0.00000037200,0.00220
 0.00000037300,0.00100
 0.00000037400,0.00260
 0.00000037500,0.00300
 0.00000037600,0.00180
 0.00000037700,0.00100
 0.00000037800,0.00180
 0.00000037900,0.00300
 0.00000038000,0.00260
 0.00000038100,0.00220
 0.00000038200,0.00380
 0.00000038300,0.00260
 0.00000038400,0.00260
 0.00000038500,0.00500
 0.00000038600,0.00500
 0.00000038700,0.00380
 0.00000038800,0.00500
 0.00000038900,0.00420
 0.00000039000,0.00180
 0.00000039100,0.00140
 0.00000039200,0.00260
 0.00000039300,0.00180
 0.00000039400,0.00180
 0.00000039500,0.00220
 0.00000039600,0.00180
 0.00000039700,0.00060
 0.00000039800,0.00220
 0.00000039900,0.00140
 0.00000040000,0.00060
 0.00000040100,0.00180
 0.00000040200,0.00220
 0.00000040300,0.00140
 0.00000040400,0.00260
 0.00000040500,0.00380
 0.00000040600,0.00060
 0.00000040700,0.00060
 0.00000040800,0.00340
 0.00000040900,0.00140
 0.00000041000,0.00100
 0.00000041100,0.00260
 0.00000041200,0.00260
 0.00000041300,-0.00060
 0.00000041400,0.00060
 0.00000041500,0.00340
 0.00000041600,0.00140
 0.00000041700,0.00020
 0.00000041800,0.00060
 0.00000041900,0.00100
 0.00000042000,0.00340
 0.00000042100,0.00380
 0.00000042200,0.00100
 0.00000042300,-0.00060
 0.00000042400,0.00100
 0.00000042500,0.00140
 0.00000042600,0.00140
 0.00000042700,0.00180
 0.00000042800,0.00260
 0.00000042900,0.00220
 0.00000043000,0.00140
 0.00000043100,0.00220
 0.00000043200,0.00300
 0.00000043300,0.00220
 0.00000043400,0.00180
 0.00000043500,0.00140
 0.00000043600,0.00180
 0.00000043700,0.00220
 0.00000043800,0.00100
 0.00000043900,0.00100
 0.00000044000,0.00100
 0.00000044100,0.00220
 0.00000044200,0.00020
 0.00000044300,0.00020
 0.00000044400,-0.00060
 0.00000044500,-0.00060
 0.00000044600,0.00060
 0.00000044700,0.00100
 0.00000044800,0.00140
 0.00000044900,0.00260
 0.00000045000,0.00220
 0.00000045100,0.00100
 0.00000045200,-0.00020
 0.00000045300,0.00100
 0.00000045400,0.00140
 0.00000045500,-0.00020
 0.00000045600,0.00060
 0.00000045700,0.00020
 0.00000045800,0.00180
 0.00000045900,0.00260
 0.00000046000,0.00060
 0.00000046100,0.00020
 0.00000046200,0.00140
 0.00000046300,0.00220
 0.00000046400,0.00220
 0.00000046500,0.00140
 0.00000046600,0.00020
 0.00000046700,-0.00060
 0.00000046800,0.00060
 0.00000046900,0.00100
 0.00000047000,-0.00020
 0.00000047100,-0.00060
 0.00000047200,0.00100
 0.00000047300,0.00140
 0.00000047400,0.00020
 0.00000047500,0.00140
 0.00000047600,0.00220
 0.00000047700,0.00180
 0.00000047800,0.00180
 0.00000047900,0.00140
 0.00000048000,0.00100
 0.00000048100,0.00380
 0.00000048200,0.00460
 0.00000048300,0.00300
 0.00000048400,0.00380
 0.00000048500,0.00580
 0.00000048600,0.00340
 0.00000048700,0.00140
 0.00000048800,0.00340
 0.00000048900,0.00340
 0.00000049000,0.00220
 0.00000049100,0.00380
 0.00000049200,0.00340
 0.00000049300,0.00140
 0.00000049400,0.00220
 0.00000049500,0.00300
 0.00000049600,0.00260
 0.00000049700,0.00300
 0.00000049800,0.00380
 0.00000049900,0.00340
 0.00000050000,0.00340
 0.00000050100,0.00380
 0.00000050200,0.00300
 0.00000050300,0.00300
 0.00000050400,0.00300
 0.00000050500,0.00180
 0.00000050600,0.00220
 0.00000050700,0.00340
 0.00000050800,0.00380
 0.00000050900,0.00260
 0.00000051000,0.00100
 0.00000051100,0.00060
 0.00000051200,0.00060
 0.00000051300,0.00220
 0.00000051400,0.00300
 0.00000051500,0.00340
 0.00000051600,0.00300
 0.00000051700,0.00340
 0.00000051800,0.00100
 0.00000051900,-0.00020
 0.00000052000,0.00220
 0.00000052100,0.00180
 0.00000052200,-0.00060
 0.00000052300,-0.00020
 0.00000052400,0.00060
 0.00000052500,-0.00060
 0.00000052600,0.00180
 0.00000052700,0.00380
 0.00000052800,0.00300
 0.00000052900,0.00180
 0.00000053000,0.00220
 0.00000053100,0.00100
 0.00000053200,0.00060
 0.00000053300,0.00100
 0.00000053400,0.00260
 0.00000053500,0.00060
 0.00000053600,0.00140
 0.00000053700,0.00220
 0.00000053800,0.00060
 0.00000053900,-0.00060
 0.00000054000,0.00060
